index,price,brand,model,year,condition,transmission,fuel_type,kilometers_run
2672,3650000,toyota,esquire,2020,reconditioned,automatic,"petrol, hybrid, octane",96810
2673,2550000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid, octane",98641
2674,3180000,toyota,corolla,2020,reconditioned,automatic,hybrid,43658
2675,2720000,toyota,axio,2020,reconditioned,automatic,"petrol, octane",58417
2676,3350000,toyota,esquire,2020,reconditioned,automatic,"petrol, hybrid, octane",35280
2677,3250000,toyota,esquire,2019,reconditioned,automatic,"petrol, hybrid, octane",35806
2678,3520000,toyota,noah,2020,reconditioned,automatic,"petrol, octane",82135
2679,3390000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",67485
2680,4060000,toyota,premio,2020,reconditioned,automatic,"petrol, octane",41235
2681,2530000,toyota,axio,2020,reconditioned,automatic,hybrid,47561
2682,1880000,toyota,aqua,2020,reconditioned,automatic,"petrol, hybrid, octane",102000
2683,13500000,toyota,prado,2020,reconditioned,automatic,hybrid,56000
2684,2450000,toyota,sienta,2020,reconditioned,automatic,hybrid,82000
2685,4000000,nissan,x-trail,2020,reconditioned,automatic,"petrol, hybrid, octane",90519
2686,4250000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",72019
2687,3700000,toyota,noah,2021,reconditioned,automatic,"petrol, hybrid, octane",57098
2688,7300000,toyota,harrier,2021,reconditioned,automatic,"petrol, hybrid, octane",86700
2689,3450000,toyota,voxy,2020,reconditioned,automatic,"petrol, hybrid, octane",86345
2690,3700000,toyota,esquire,2021,reconditioned,automatic,"petrol, hybrid, octane",68345
2691,4500000,toyota,corolla cross,2021,reconditioned,automatic,"petrol, hybrid, octane",56000
2692,3650000,toyota,yaris cross,2021,reconditioned,automatic,hybrid,66000
2693,5200000,toyota,voxy,2023,reconditioned,automatic,hybrid,37415
2694,5650000,toyota,corolla cross,2025,reconditioned,automatic,hybrid,29
2695,2830000,toyota,fielder,2019,reconditioned,automatic,hybrid,62705
2696,5800000,honda,civic,2021,reconditioned,automatic,"petrol, octane",32000
2697,4800000,toyota,voxy,2022,reconditioned,automatic,hybrid,45346
2698,5100000,toyota,voxy,2023,reconditioned,automatic,hybrid,28564
2699,3700000,honda,insight,2019,reconditioned,automatic,hybrid,32000
2700,3100000,toyota,corolla,2021,reconditioned,automatic,"petrol, hybrid, octane",79000
2701,4000000,honda,insight,2020,reconditioned,automatic,"petrol, hybrid, octane",104000
2702,1720000,toyota,aqua,2020,reconditioned,automatic,"petrol, hybrid, octane",86594
2703,3680000,toyota,noah,2021,reconditioned,automatic,octane,107342
2704,3680000,toyota,noah,2021,reconditioned,automatic,octane,97675
2705,3850000,toyota,esquire,2020,reconditioned,automatic,hybrid,69876
2706,2130000,toyota,aqua,2020,reconditioned,automatic,hybrid,95086
2707,4650000,toyota,hiace,2021,reconditioned,automatic,"petrol, octane",66000
2708,4950000,toyota,corolla cross,2022,reconditioned,automatic,"petrol, hybrid, octane",28000
2709,1465000,toyota,premio,2004,used,automatic,"petrol, octane",95825
2710,1200000,hyundai,ancient,2011,used,automatic,octane,49353
2711,4200000,toyota,noah,2022,reconditioned,automatic,hybrid,21848
2712,2040000,toyota,aqua,2020,reconditioned,automatic,hybrid,83000
2713,880000,toyota,probox,2010,used,automatic,"cng, octane",80000
2714,7100000,toyota,rav4,2020,reconditioned,automatic,"petrol, octane",49000
2715,1500000,toyota,allion,2013,used,automatic,octane,180000
2716,5095000,toyota,corolla cross,2022,reconditioned,automatic,"hybrid, octane",10522
2717,3650000,toyota,noah,2021,reconditioned,automatic,octane,95250
2718,3850000,toyota,esquire,2020,reconditioned,automatic,hybrid,63023
2719,5050000,toyota,corolla cross,2022,reconditioned,automatic,"hybrid, octane",36818
2720,5095000,toyota,corolla cross,2022,reconditioned,automatic,"hybrid, octane",35640
2721,5225000,toyota,corolla cross,2022,reconditioned,automatic,"hybrid, octane",25855
2722,4320000,toyota,noah,2021,reconditioned,automatic,octane,5460
2723,3330000,toyota,hiace,2021,reconditioned,automatic,octane,79300
2724,4650000,toyota,hiace,2022,reconditioned,automatic,octane,58614
2725,3225000,toyota,hiace,2020,reconditioned,automatic,octane,120002
2726,4275000,toyota,esquire,2020,reconditioned,automatic,"hybrid, octane",52116
2727,2400000,toyota,fielder,2020,reconditioned,automatic,hybrid,88676
2728,4375000,toyota,esquire,2020,reconditioned,automatic,octane,149445
2729,4350000,toyota,noah,2020,reconditioned,automatic,"petrol, octane",80000
2730,3020000,toyota,axio,2020,reconditioned,automatic,octane,27826
2731,2500000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid, octane",98000
2732,2275000,toyota,axio,2018,reconditioned,automatic,"hybrid, octane",80000
2733,4600000,toyota,corolla cross,2022,reconditioned,automatic,"hybrid, octane",25098
2734,4120000,toyota,allion,2019,reconditioned,automatic,octane,4461
2735,1885000,toyota,aqua,2018,reconditioned,automatic,"hybrid, octane",75433
2736,3100000,toyota,prius,2020,reconditioned,automatic,"hybrid, octane",60259
2737,5250000,toyota,corolla cross,2023,reconditioned,automatic,"hybrid, octane",25098
2738,3450000,toyota,c-hr,2020,reconditioned,automatic,"petrol, hybrid, octane",121000
2739,4325000,toyota,esquire,2020,reconditioned,automatic,"hybrid, octane",29080
2740,4150000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",77000
2741,1780000,toyota,allion,2008,used,automatic,lpg,89000
2742,2250000,toyota,premio,2014,used,automatic,octane,75000
2743,3700000,toyota,noah,2021,reconditioned,automatic,octane,119384
2744,4640000,toyota,hiace,2021,reconditioned,automatic,"petrol, octane",67000
2745,4050000,toyota,allion,2019,reconditioned,automatic,"petrol, octane",56000
2746,2090000,toyota,allion,2011,used,automatic,"cng, octane",89000
2747,3200000,toyota,hiace,2020,reconditioned,automatic,"octane, lpg",87320
2748,1680000,toyota,axio,2012,used,automatic,"cng, octane",89000
2749,1220000,toyota,fielder,2004,used,automatic,cng,89000
2750,1150000,toyota,fielder,2004,used,automatic,octane,89000
2751,2800000,toyota,sienta,2019,reconditioned,automatic,"petrol, hybrid, octane",96000
2752,2780000,toyota,axio,2019,reconditioned,automatic,"petrol, octane",79745
2753,3550000,toyota,c-hr,2020,reconditioned,automatic,"petrol, hybrid, octane",66000
2755,2850000,toyota,corolla,2020,reconditioned,automatic,hybrid,122000
2756,3900000,toyota,corolla cross,2021,reconditioned,automatic,"petrol, hybrid, octane",55800
2757,3720000,toyota,noah,2020,reconditioned,automatic,"petrol, octane",84559
2758,5550000,toyota,crown,2017,reconditioned,automatic,hybrid,51182
2759,5720000,toyota,corolla cross,2025,reconditioned,automatic,"hybrid, octane",3000
2760,3550000,toyota,prius,2020,reconditioned,automatic,"hybrid, octane",24618
2761,7699998,toyota,harrier,2021,reconditioned,automatic,hybrid,48000
2762,4730000,toyota,premio,2020,reconditioned,automatic,octane,57250
2763,3850000,toyota,esquire,2020,reconditioned,automatic,hybrid,69423
2764,3430000,toyota,yaris cross,2020,reconditioned,automatic,"petrol, octane",88000
2765,3250000,toyota,prius,2020,reconditioned,automatic,"petrol, hybrid, octane",47001
2766,2780000,toyota,axio,2019,reconditioned,automatic,petrol,54402
2767,3490000,toyota,c-hr,2021,reconditioned,automatic,hybrid,58715
2768,3920000,toyota,esquire,2020,reconditioned,automatic,hybrid,69000
2769,3940000,toyota,esquire,2021,reconditioned,automatic,hybrid,48762
2770,3950000,honda,insight,2021,reconditioned,automatic,"petrol, hybrid, octane",95125
2771,3050000,toyota,voxy,2019,reconditioned,automatic,"petrol, hybrid, octane",70000
2772,3580000,toyota,noah,2020,reconditioned,automatic,hybrid,82000
2773,7100000,toyota,rav4,2020,reconditioned,automatic,petrol,48000
2774,5400000,toyota,noah,2023,reconditioned,automatic,hybrid,25190
2775,1750000,toyota,noah,2009,used,automatic,"octane, lpg",85900
2776,2300000,nissan,x-trail,2014,used,automatic,octane,86000
2777,4250000,honda,civic,2019,reconditioned,automatic,"petrol, octane",53924
2778,1750000,toyota,premio,2007,used,automatic,"cng, octane",86000
2779,2700000,toyota,harrier,2009,used,automatic,octane,74111
2780,2910000,toyota,axio,2020,reconditioned,automatic,"petrol, octane",100488
2781,4440000,toyota,corolla cross,2022,reconditioned,automatic,"petrol, hybrid, octane",39400
2782,4260000,toyota,esquire,2021,reconditioned,automatic,"petrol, hybrid, octane",51320
2783,4570000,toyota,premio,2020,reconditioned,automatic,"petrol, octane",73538
2784,2460000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid, octane",110819
2785,2650000,dfsk,glory i-auto,2022,used,automatic,octane,22000
